train_loss_step,grad_2_norm_step,epoch,step
0.04130749776959419,23.613025665283203,240,343449
0.0681058019399643,13.93990707397461,240,343459
0.03019527718424797,3.0582282543182373,240,343469
0.03412759676575661,18.01145362854004,240,343479
0.03802695497870445,29.328100204467773,240,343489
0.04942807927727699,10.790019989013672,240,343499
0.05384422838687897,12.353716850280762,240,343509
0.02232843078672886,19.198104858398438,240,343519
0.06446800380945206,30.163387298583984,240,343529
0.036167629063129425,23.579647064208984,240,343539
0.028864586725831032,16.29267120361328,240,343549
0.03356868028640747,27.43047332763672,240,343559
0.03818826749920845,37.25495147705078,240,343569
0.049205079674720764,48.927677154541016,240,343579
0.034251950681209564,34.44721603393555,240,343589
0.043711189180612564,4.702844619750977,240,343599
0.029231790453195572,41.45329284667969,240,343609
0.02603854238986969,28.18619155883789,240,343619
0.06849493086338043,20.99485969543457,240,343629
0.053152814507484436,34.26476287841797,240,343639
