train_loss,epoch,step,val_loss
1.8292720317840576,0,49,
0.7818500995635986,0,99,
3.008678913116455,0,149,
0.5235724449157715,0,199,
1.9158679246902466,0,249,
0.49669957160949707,0,299,
,0,312,0.5022627115249634
0.230464369058609,1,349,
0.3193298578262329,1,399,
0.12932069599628448,1,449,
1.0201231241226196,1,499,
0.21933189034461975,1,549,
0.13927216827869415,1,599,
,1,625,0.22171750664710999
0.5452380776405334,2,649,
0.8148871660232544,2,699,
0.17552195489406586,2,749,
0.23116357624530792,2,799,
0.09985479712486267,2,849,
0.46958428621292114,2,899,
,2,938,0.17071187496185303
0.06515004485845566,3,949,
0.46508049964904785,3,999,
0.1477925181388855,3,1049,
0.13931284844875336,3,1099,
0.19028259813785553,3,1149,
0.10857927054166794,3,1199,
0.15076875686645508,3,1249,
,3,1251,0.1621587574481964
0.32318368554115295,4,1299,
0.19558453559875488,4,1349,
0.29869720339775085,4,1399,
0.08265022188425064,4,1449,
