train_loss_step,epoch,step
0.7975647449493408,0,9
0.7966092824935913,0,19
0.7921136021614075,0,29
0.7906597256660461,0,39
0.7700664401054382,0,49
0.6946448683738708,0,59
0.46281272172927856,0,69
0.286812961101532,0,79
0.30976617336273193,0,89
0.20886915922164917,0,99
0.16382066905498505,0,109
0.16777902841567993,0,119
0.14949601888656616,0,129
0.19171056151390076,0,139
0.12192095071077347,0,149
0.12178189307451248,0,159
0.09237077832221985,0,169
0.09959663450717926,0,179
0.1688198298215866,0,189
0.16005241870880127,0,199
0.11295447498559952,0,209
0.12382591515779495,0,219
0.12491294741630554,0,229
0.11859887093305588,0,239
0.14201578497886658,0,249
0.08119800686836243,0,259
0.11368861049413681,0,269
0.10919860750436783,0,279
0.14311423897743225,0,289
0.10646089166402817,0,299
0.10171551257371902,0,309
0.1127837523818016,0,319
0.111336350440979,0,329
0.08378728479146957,0,339
0.08780306577682495,0,349
0.12802600860595703,0,359
0.12799681723117828,0,369
0.10309068113565445,0,379
0.12530338764190674,0,389
0.0855896845459938,0,399
0.06945224106311798,0,409
0.09988976269960403,0,419
0.06803087145090103,0,429
0.08524231612682343,0,439
0.110773004591465,0,449
0.08038754016160965,0,459
0.07316748052835464,0,469
0.09961829334497452,0,479
0.0927223190665245,0,489
0.08488396555185318,0,499
0.10770176351070404,0,509
0.12681105732917786,0,519
0.09758944064378738,0,529
0.14342646300792694,0,539
0.09534353017807007,0,549
0.08599232137203217,0,559
0.10793327540159225,0,569
0.14988043904304504,0,579
0.10675971210002899,0,589
0.09242542833089828,0,599
0.094327412545681,0,609
0.07100754231214523,0,619
0.10494697839021683,0,629
0.06677119433879852,0,639
0.09446727484464645,0,649
0.1009521335363388,0,659
0.08080688118934631,0,669
0.1346016228199005,0,679
0.07933937758207321,0,689
0.13307484984397888,0,699
0.08428896218538284,0,709
0.07634653151035309,0,719
0.07656417042016983,0,729
0.08724192529916763,0,739
0.05536831542849541,0,749
0.08782901614904404,0,759
0.10162483900785446,0,769
0.0725829005241394,0,779
0.07636886090040207,0,789
0.08316545188426971,0,799
0.09233856946229935,0,809
0.1253165304660797,0,819
0.09846700727939606,0,829
0.10502233356237411,0,839
0.1098431721329689,0,849
0.06553306430578232,0,859
0.06657722592353821,0,869
0.07223012298345566,0,879
0.1089993491768837,0,889
0.06908668577671051,0,899
0.07967259734869003,0,909
0.11796101182699203,0,919
0.1112893745303154,0,929
0.11529197543859482,0,939
0.06581641733646393,0,949
0.05798898637294769,0,959
0.05963867902755737,0,969
