train_loss,epoch,step,val_loss
6.53475284576416,0,49,
2.2540786266326904,0,99,
2.2571446895599365,0,149,
5.714407444000244,0,199,
0.952257513999939,0,249,
1.1975246667861938,0,299,
,0,312,1.0432966947555542
0.2947861850261688,1,349,
0.29643702507019043,1,399,
0.38648298382759094,1,449,
0.205330953001976,1,499,
0.16874538362026215,1,549,
0.0892437994480133,1,599,
,1,625,0.30139946937561035
0.175657257437706,2,649,
0.16633717715740204,2,699,
0.5160663723945618,2,749,
0.4394664168357849,2,799,
0.5956917405128479,2,849,
0.14150184392929077,2,899,
,2,938,0.20211172103881836
0.15296855568885803,3,949,
0.1277615875005722,3,999,
0.11720626056194305,3,1049,
0.19545668363571167,3,1099,
0.2908174395561218,3,1149,
0.2449234127998352,3,1199,
0.2702957093715668,3,1249,
,3,1251,0.14890068769454956
0.14949268102645874,4,1299,
0.2389155477285385,4,1349,
0.15836778283119202,4,1399,
0.12184425443410873,4,1449,
0.3586632013320923,4,1499,
0.1919616311788559,4,1549,
,4,1564,0.1104910597205162
0.08958262205123901,5,1599,
0.2280445098876953,5,1649,
0.14421924948692322,5,1699,
0.06626393646001816,5,1749,
0.18610906600952148,5,1799,
0.10229501873254776,5,1849,
,5,1877,0.09592825174331665
0.4289258122444153,6,1899,
0.10198100656270981,6,1949,
0.3363121449947357,6,1999,
0.08759015798568726,6,2049,
0.08475387096405029,6,2099,
0.07625235617160797,6,2149,
,6,2190,0.08309879153966904
0.08185648918151855,7,2199,
0.07248509675264359,7,2249,
0.1214320957660675,7,2299,
0.14595136046409607,7,2349,
0.09206335991621017,7,2399,
0.21526823937892914,7,2449,
0.37706485390663147,7,2499,
,7,2503,0.06543458998203278
1.0492615699768066,8,2549,
0.16866828501224518,8,2599,
0.1201857179403305,8,2649,
0.09824609756469727,8,2699,
0.12088240683078766,8,2749,
0.059420667588710785,8,2799,
,8,2816,0.05682194605469704
0.08604927361011505,9,2849,
0.5150420069694519,9,2899,
0.08792419731616974,9,2949,
0.04918462783098221,9,2999,
0.0659148246049881,9,3049,
0.15824121236801147,9,3099,
,9,3129,0.05148511752486229
